Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature
Africa,Kenya,2018,Both sexes,11.03,7.84,15.09,63.22520547945206
Europe,Croatia,2018,Both sexes,11.1,8.18,14.68,53.93671232876713
South-East Asia,India,2018,Female,11.05,8.72,13.78,79.84376712328766
Africa,Senegal,2018,Both sexes,11.16,6.73,17.33,71.65452054794521
Europe,Austria,2018,Both sexes,11.19,9.38,13.24,52.533150684931506
Western Pacific,Australia,2018,Both sexes,11.26,9.4,13.34,61.485863013698626
Americas,Haiti,2018,Both sexes,11.37,5.84,18.86,74.56931506849315
Americas,Costa Rica,2018,Male,11.51,8.36,24.99,70.51452054794521
Africa,Congo,2018,Both sexes,11.63,6.9,18.38,76.58027397260274
Europe,Portugal,2018,Male,11.75,9.48,14.5,59.588767123287674
Americas,Suriname,2018,Female,11.94,7.74,17.33,73.3627397260274
Europe,Denmark,2018,Male,11.91,9.6,14.64,47.8331506849315
Africa,Guinea,2018,Both sexes,12.24,6.7,20.39,69.18493150684931
Europe,Uzbekistan,2018,Male,12.53,9.69,15.81,59.0827397260274
Europe,Hungary,2018,Both sexes,12.58,10.01,15.55,52.360547945205475
Europe,Sweden,2018,Both sexes,12.69,10.91,14.59,45.467123287671235
Americas,Belize,2018,Male,12.79,9.39,16.96,78.54849315068493
Africa,Guinea-Bissau,2018,Both sexes,12.9,7.3,20.91,78.57095890410959
South-East Asia,India,2018,Both sexes,12.88,9.36,16.05,79.84376712328766
Africa,Benin,2018,Both sexes,12.97,7.74,20.76,78.73178082191781
Europe,Germany,2018,Male,13.11,10.91,15.52,48.67880512091038
Africa,Gambia,2018,Male,13.2,6.71,23.32,73.47917808219178
South-East Asia,Sri Lanka,2018,Both sexes,13.24,8.59,21.58,77.70164383561644
Europe,Romania,2018,Male,13.34,10.61,16.42,53.27095890410959
Western Pacific,Japan,2018,Both sexes,13.37,12.73,13.98,56.09525114155252
Africa,Madagascar,2018,Male,13.45,8.04,21.29,64.63506849315068
Africa,Gabon,2018,Both sexes,13.56,7.8,21.82,78.26301369863013
Europe,Norway,2018,Male,13.7,12.51,15.02,41.73342465753425
Africa,Namibia,2018,Both sexes,13.74,7.85,22.9,49.45068493150685
Europe,Switzerland,2018,Male,14.24,11.77,16.97,50.5986301369863
Africa,Ethiopia,2018,Male,14.34,9.95,20.88,30.33835616438356
Europe,Latvia,2018,Both sexes,14.29,10.37,19.17,45.469315068493145
Europe,Belgium,2018,Both sexes,14.32,11.99,16.9,51.39095890410959
Europe,Finland,2018,Both sexes,14.41,11.89,17.18,42.44684931506849
Europe,Kyrgyzstan,2018,Male,14.61,11.6,18.12,50.336164383561645
Eastern Mediterranean,Pakistan,2018,Male,14.57,6.26,27.89,75.04849315068493
South-East Asia,India,2018,Male,14.69,10.01,18.32,79.84376712328766
Europe,Ireland,2018,Male,14.77,11.91,18.15,48.69315068493151
Americas,Argentina,2018,Male,14.91,12.07,18.1,61.24904109589041
Africa,Togo,2018,Both sexes,14.88,8.81,23.34,77.92054794520548
Americas,Haiti,2018,Male,15.07,7.41,25.07,74.56931506849315
Americas,Canada,2018,Male,15.57,12.88,18.49,36.807534246575344
Europe,France,2018,Male,15.8,13.03,22.22,51.521232876712325
Western Pacific,New Zealand,2018,Male,15.93,13.52,18.6,58.83068493150685
Americas,Cuba,2018,Male,16.64,13.03,29.45,73.50164383561643
Europe,Iceland,2018,Male,16.64,13.26,20.36,39.42356164383562
Europe,Slovakia,2018,Male,16.97,11.41,36.83,52.57232876712329
Western Pacific,Australia,2018,Male,17.14,14.45,20.18,61.485863013698626
Europe,Sweden,2018,Male,17.27,14.89,19.79,45.467123287671235
Europe,Croatia,2018,Male,17.84,13.28,23.34,53.93671232876713
Africa,Congo,2018,Male,17.95,10.84,27.87,76.58027397260274
Europe,Belarus,2018,Both sexes,17.94,12.84,24.81,15.344109589041096
Europe,Ukraine,2018,Both sexes,17.99,13.73,23.05,47.30109589041096
Europe,Austria,2018,Male,18.01,15.23,21.13,52.533150684931506
Africa,Kenya,2018,Male,18.21,12.85,25.11,63.22520547945206
Africa,Guinea,2018,Male,18.23,9.66,30.52,69.18493150684931
South-East Asia,Nepal,2018,Male,18.45,9.78,28.6,63.05643835616438
Europe,Poland,2018,Male,18.63,15.15,22.59,49.65041095890411
Western Pacific,Mongolia,2018,Both sexes,18.67,11.45,28.76,29.2572602739726
Africa,Senegal,2018,Male,18.73,11.42,28.92,71.65452054794521
Americas,Uruguay,2018,Both sexes,18.85,15.28,22.85,60.27890410958904
Western Pacific,Japan,2018,Male,18.85,18.06,19.58,56.09525114155252
Africa,Uganda,2018,Male,19.21,11.96,30.24,69.8309589041096
Europe,Kazakhstan,2018,Both sexes,19.41,15.43,24.18,48.46602739726027
Americas,Dominican Republic,2018,Female,1.98,1.15,3.19,74.76054794520547
Eastern Mediterranean,Saudi Arabia,2018,Female,2.0,1.18,3.2,79.56835616438356
Americas,Costa Rica,2018,Female,2.1,1.42,2.95,70.51452054794521
Europe,Italy,2018,Female,2.08,1.87,6.71,58.26657534246575
Eastern Mediterranean,Egypt,2018,Female,2.22,1.1,3.88,73.32191780821918
Americas,Nicaragua,2018,Female,2.22,1.52,3.13,78.8158904109589
Americas,Mexico,2018,Female,2.17,1.84,2.53,61.11441605839416
