Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP,Population,Happiness Index
Europe,Ireland,2019,Both sexes,8.9,7.01,11.12,47.38602739726028,81481.09923743273,4934340.0,7.255
Western Pacific,Malaysia,2019,Male,9.02,5.5,14.12,79.98109589041096,11132.10526349743,32804020.0,5.428
Africa,Madagascar,2019,Both sexes,9.18,5.4,14.67,64.46657534246575,512.2796655827365,27533134.0,4.339
Africa,Central African Republic,2019,Female,9.3,5.14,15.6,62.85260273972603,426.2785602438487,5209324.0,3.388909090909091
Europe,Poland,2019,Both sexes,9.3,7.34,11.75,49.365753424657534,15484.611924427803,37965475.0,6.242
Western Pacific,Singapore,2019,Both sexes,9.65,7.77,11.77,80.32438356164384,64236.5278764376,5703569.0,6.448
Europe,France,2019,Both sexes,9.65,7.76,15.08,54.09767123287671,40915.376825761254,67388001.0,6.69
Eastern Mediterranean,Pakistan,2019,Both sexes,9.77,4.86,17.72,28.234246575342464,1307.3335009782547,223293280.0,4.443
South-East Asia,Nepal,2019,Both sexes,9.77,5.4,15.22,62.714520547945206,1188.5288874857758,28832496.0,5.449
Africa,South Africa,2019,Female,9.83,5.75,14.49,60.399726027397264,6702.526591226513,58087055.0,5.035
Europe,Switzerland,2019,Both sexes,9.83,7.93,12.04,49.04392694063927,84113.28662971577,8575280.0,7.694
Eastern Mediterranean,Bahrain,2019,Male,9.86,6.06,14.38,79.97232876712329,25869.206182092556,1494188.0,7.098
Europe,Norway,2019,Both sexes,9.91,9.0,10.95,39.80958904109589,76425.11561365644,5347896.0,7.442
Eastern Mediterranean,Kuwait,2018,Female,0.72,0.49,1.02,80.1558904109589,32012.135280257677,4317185.0,6.1
Eastern Mediterranean,Jordan,2018,Female,0.93,0.61,1.35,64.8131506849315,4146.407295820336,10459865.0,4.639
Americas,Honduras,2018,Female,0.99,0.54,1.71,67.97753424657535,2457.6864395511943,9792850.0,5.908
Americas,Panama,2018,Female,1.02,0.69,1.44,76.95479452054795,16156.074294370932,4165255.0,6.281
Eastern Mediterranean,Oman,2018,Female,1.13,0.67,1.79,75.0695890410959,19887.588726753936,4601157.0,6.853
South-East Asia,Indonesia,2018,Female,1.17,0.9,1.51,80.56904109589041,3902.6616754269257,267066843.0,5.34
Western Pacific,Philippines,2018,Female,1.31,1.0,9.62,80.58191780821919,3194.6727041429067,108568836.0,5.869
Eastern Mediterranean,Lebanon,2018,Female,1.55,0.86,2.56,67.42657534246575,9225.845154876704,5950839.0,5.167
Americas,Belize,2018,Female,1.65,1.19,2.26,78.54849315068493,6001.024261515026,382066.0,6.2035
Americas,Colombia,2018,Female,1.69,1.17,2.34,54.83972602739726,6782.037920331896,49276961.0,5.984
