Region,Country,Year,Sex,actual suicide rate,low suicide rate,high suicide rate,AvgTemperature,GDP
Eastern Mediterranean,Qatar,2019,Male,5.66,3.49,9.12,81.38575342465754,62827.39695430236
Europe,Switzerland,2019,Female,5.65,4.46,7.03,49.04392694063927,84113.28662971577
Western Pacific,Malaysia,2019,Both sexes,5.77,3.53,9.0,79.98109589041096,11132.10526349743
Americas,Bahamas,2019,Male,5.76,3.99,8.11,76.20986301369862,33564.69573385209
Americas,Colombia,2019,Male,5.96,4.07,15.05,55.08767123287672,6438.0601829042935
Africa,Benin,2019,Female,6.09,3.47,10.01,79.42986301369864,1170.9658792195055
Africa,Congo,2019,Female,6.06,3.48,9.87,76.16328767123288,2508.9404444502206
South-East Asia,Sri Lanka,2019,Female,6.1,4.05,8.79,78.87123287671233,4111.610249585678
Africa,Gambia,2019,Female,6.24,3.58,10.01,75.35780821917808,722.8756336055856
Americas,Guatemala,2019,Both sexes,6.23,4.33,8.61,64.95780821917808,4511.328719962381
Eastern Mediterranean,United Arab Emirates,2019,Male,6.29,3.49,10.03,81.73095890410958,45376.17083815792
Europe,Norway,2019,Female,6.29,5.7,6.98,39.80958904109589,76425.11561365644
Eastern Mediterranean,Oman,2019,Male,6.43,3.85,10.93,63.0241610738255,19132.15076523388
Western Pacific,Singapore,2019,Female,6.37,5.06,7.84,80.32438356164384,64236.5278764376
Americas,Brazil,2019,Both sexes,6.41,5.79,12.1,70.8766210045662,8883.903092241835
Africa,Togo,2019,Female,6.45,3.65,10.74,77.80739726027397,848.3045343333605
Europe,Bulgaria,2019,Both sexes,6.5,4.57,8.91,50.733698630136985,9767.173367811269
Africa,Guinea-Bissau,2019,Female,6.69,3.85,10.99,77.52958904109589,692.9000542046755
Western Pacific,China,2019,Both sexes,6.67,5.09,8.72,59.34558904109589,10043.13017714862
Europe,Italy,2019,Male,6.72,6.2,7.29,56.89835616438357,33674.39875245384
Europe,Finland,2019,Female,6.78,5.44,8.29,41.52849315068493,48630.46593232076
Africa,Nigeria,2019,Both sexes,6.87,3.84,11.43,80.33123287671233,2334.0172723874666
Western Pacific,Japan,2019,Female,6.91,6.45,7.35,55.25077625570776,40686.26776488963
Eastern Mediterranean,Bahrain,2019,Both sexes,7.2,4.46,10.45,79.97232876712329,25869.206182092556
Europe,Portugal,2019,Both sexes,7.22,5.68,9.06,59.2945205479452,23322.518802026178
Eastern Mediterranean,Morocco,2019,Both sexes,7.29,3.38,13.65,59.73150684931507,3551.0912359602585
Europe,Romania,2019,Both sexes,7.33,5.47,9.6,53.04383561643836,12856.689173670482
Americas,Costa Rica,2019,Both sexes,7.62,5.29,10.53,70.66931506849315,12669.341161735572
Europe,Denmark,2019,Both sexes,7.63,5.99,9.6,46.86493150684932,59783.649338656745
Americas,Belize,2019,Both sexes,7.65,5.53,10.27,78.84876712328767,6134.2152327837675
Americas,Uruguay,2019,Female,7.67,5.91,9.69,59.540547945205475,18098.361548791
Europe,Sweden,2019,Female,7.73,6.53,9.06,44.18,51994.89528538041
Eastern Mediterranean,Saudi Arabia,2019,Male,7.79,4.67,12.15,78.69410958904109,23405.706108770533
Americas,Nicaragua,2019,Male,7.79,5.08,21.03,79.15835616438356,1905.6375060957484
Europe,Spain,2019,Male,7.88,6.38,9.6,58.2565296803653,29583.693322770436
Americas,Haiti,2019,Female,7.98,4.41,13.06,73.38301369863014,1260.2869670747727
Africa,Guinea,2019,Female,8.03,4.55,13.3,62.41530054644809,1043.9035115883423
